time,latency_ms
231826733480969,7.547696
231826734592470,6.472903
231826735729816,7.620098
231826745064438,6.915487
231826745068354,6.98623
231826745069816,6.935168
231826745071054,6.936788
231826756220156,6.892398
231826756320949,6.966279
231826757363417,7.991623
231826757396723,8.047453
231826767702420,6.779514
231826767706328,6.820734
231826767790696,6.901143
231826769210429,8.411856
231826778931612,7.027998
231826778935374,7.004851
231826779046435,7.184423
231826779948606,8.049395
231826789837676,6.778811
231826789841595,6.723946
231826789859087,6.851493
231826789864422,6.887783
231826801230179,7.032711
231826801235503,6.977397
231826801312204,7.063815
231826801339796,7.156334
231826812284726,6.791149
231826812303033,6.715437
231826812310857,6.779217
231826812328720,6.816366
231826823590964,6.862675
231826823620349,6.935709
231826823623884,6.975726
231826823672649,7.047757
231826835393119,6.980446
231826835398054,6.99772
231826835406626,7.0261
231826836399169,8.019954
231826845953891,6.494764
231826846015721,6.460738
231826848320269,8.775106
231826848322841,8.783976
231826857445665,6.951469
231826858524245,8.789143
231826859301740,7.847603
231826859360141,7.910665
231826867696949,7.217413
231826869461204,6.792463
231826869593136,6.928968
231826869859234,7.202444
231826877900594,7.851288
231826879818821,6.923615
231826879852949,7.047503
231826879936141,7.082835
231826888728537,8.24947
231826890876169,7.140609
231826890901013,7.19925
231826892073343,8.383282
231826901737938,9.604224
231826902850729,8.24516
231826902853098,8.195913
231826902854577,8.302217
231826913802094,7.317901
231826913807383,7.183329
231826915011304,8.380603
231826915014057,8.46502
231826927021800,7.539527
231826927039891,7.407425
231826927099105,7.488482
231826928119584,8.649253
231826940210140,8.582563
231826940277945,8.572156
231826941273881,9.562002
231826941276439,9.574072
231826952123911,7.53939
231826953278131,8.612956
231826953280687,8.64549
231826953282081,8.733519
231826962273164,7.209878
231826964246095,6.905109
231826964396788,7.059592
231826964743131,8.068201
231826972350123,7.500373
231826976693225,7.921895
231826976747084,7.300903
231826980536193,11.00529
231826983603805,8.888357
231826989441488,7.942419
231826990533709,9.518586
231826990557405,8.315768
231826996331874,10.238855
231826999419050,7.571057
231827002042827,8.05075
231827003964817,9.928411
231827010638103,8.487569
231827011814251,11.83953
231827013857417,8.234846
231827014667394,7.745274
231827024700085,10.770001
231827025936138,8.512531
231827025963078,7.694866
231827025976903,7.670003
231827038089995,7.287977
231827039290469,8.495972
231827039307225,9.247369
231827039312171,8.527989
231827052017011,7.513153
231827053040136,8.668776
231827053099685,8.733344
231827053106598,8.740305
231827064233850,7.469585
231827065438705,7.830527
231827065442265,7.801015
231827065450832,7.818823
231827076857593,7.419577
231827076862407,7.131945
231827078120076,7.861878
231827079044687,8.828286
231827090364738,7.331301
231827090370914,7.331301
231827090402568,9.178613
231827091469470,10.240212
231827103737614,7.710732
231827105014010,9.105144
231827105016940,8.993038
231827105018275,9.012539
231827116654045,7.957567
231827117891332,8.285665
231827117893951,8.30465
231827117945876,8.36392
231827129439749,7.50989
231827129598279,6.903124
231827130628860,7.887318
231827130647864,7.933644
231827141002927,7.216116
231827141212089,7.272176
231827141294390,7.440663
231827142514292,8.591912
231827154396627,7.564439
231827154529208,7.557667
231827154543627,7.544144
231827155623481,8.600274
231827166656173,7.213887
231827166759525,7.653766
231827167865666,8.437148
231827167868036,8.443372
231827181246559,8.090811
231827181310932,8.151706
231827181314612,8.307912
231827181316633,8.235677
231827193419888,7.385376
231827193423253,7.376294
231827194091637,8.053933
231827194200926,8.169244
231827207659410,7.883815
231827207664230,7.915848
231827208800066,9.001049
231827208819234,8.942942
231827220464198,7.358915
231827220469622,7.422338
231827220617434,7.575902
231827221531780,8.439009
231827232784304,7.03386
231827232789574,7.037605
231827232854525,7.127643
231827233845448,8.100339
231827245243166,7.318213
231827246397983,8.42153
231827246406128,8.502046
231827246411635,8.426603
231827255877864,8.039618
231827259943662,7.923446
231827260962407,8.907904
231827261006990,8.996275
231827267744377,8.437238
231827271829181,7.224902
231827272824411,8.211889
231827276265355,11.737129
231827279711975,9.144292
231827284385190,8.308248
231827285565561,9.627342
231827286462340,7.896561
231827292495529,9.637696
231827297649622,6.898521
231827297767899,7.01934
231827301482209,11.563863
231827307332507,12.240767
231827310207039,7.54849
231827311179053,7.972342
231827311239202,7.174299
231827317645975,7.842122
231827320284338,6.665557
231827322151324,6.566734
231827323755987,8.248045
231827329077090,9.280513
231827330326155,7.096554
231827331845866,7.57726
231827331852767,5.695027
231827339406016,6.964502
231827342816309,6.186585
231827343940655,7.284056
231827343944353,7.284368
231827350018068,8.264634
231827354177320,6.089262
231827354181820,6.08889
231827356443520,9.050989
231827361406358,8.989984
231827365028026,5.921823
231827365032074,5.901886
231827368647330,9.55786
231827371285619,7.460971
231827374303942,6.317918
231827376631947,8.664417
231827377556655,6.539283
231827383892924,9.556371
231827385052835,7.41862
231827385942407,6.918354
231827387094622,7.368715
231827395719424,7.380236
231827396915157,6.820633
231827396918646,6.285403
231827396920192,6.330746
231827405739069,7.071832
231827406560393,6.013148
231827406695316,6.1437
231827407596345,7.042798
231827417975769,6.391907
231827419124195,7.51021
231827419155529,7.539243
231827419157392,7.543824
231827429799476,7.682297
231827429804223,6.360939
231827429905793,6.483298
231827429960024,6.524969
231827441222229,6.687977
231827441227288,6.723775
231827442333093,7.79601
231827442360345,7.833246
231827452889973,7.912895
231827454068818,8.402788
231827454071573,8.355457
231827454072960,8.38505
231827466193281,7.298368
231827466269637,7.3889
231827467384088,7.639177
231827467400707,7.610965
231827480961976,6.812186
231827482148048,8.005891
231827482156738,7.978235
231827482159710,7.974304
231827491649444,7.618241
231827492742047,6.765979
231827493574730,7.531807
231827493604355,7.712166
231827502061387,7.390112
231827503983101,7.199194
231827504011727,7.167853
231827504014500,7.146052
231827512670348,7.64404
231827514602528,7.076122
231827514627280,7.079419
231827514648985,7.176803
231827522114158,6.82518
231827525069529,6.598047
231827525894032,7.408883
231827525904352,7.420843
231827532229943,7.774112
231827540088461,10.86185
231827541190753,12.087552
231827541197724,12.031969
231827547768978,13.338685
231827550955404,6.44861
231827551845703,7.47754
231827551851250,7.353851
231827560288929,10.066684
231827561582405,8.513113
231827562428531,7.024131
231827562694549,7.29193
231827571682504,7.361426
231827572717382,7.453597
231827572754001,7.487781
231827572757394,7.449054
231827582471445,7.352467
231827583551276,7.361025
231827583575964,7.341386
231827583582363,7.44073
231827593810287,6.970105
231827594894999,7.22705
231827594911178,7.044832
231827594925380,7.253005
231827604630357,6.869642
231827605862607,7.140376
231827605874317,7.170622
231827605877871,7.193873
231827615779557,7.596663
231827617845906,7.344822
231827617850096,7.251053
231827617888296,7.36845
231827627131537,8.654512
231827628999370,7.271789
231827629005755,7.258489
231827629050584,7.296818
231827638225683,8.538939
231827639421138,6.791568
231827639460744,6.882463
231827640235531,7.599536
231827649679631,7.689933
231827650750092,7.447891
231827650760183,7.522367
231827650765753,7.454078
231827660062562,7.483468
231827661977154,7.389582
231827661979999,7.392946
231827662622648,8.0731
231827672080783,7.454436
231827673261862,7.830072
231827673265803,8.345989
231827673270933,7.905296
231827685355140,7.086942
231827685359023,7.149425
231827687332411,9.187183
231827687367456,9.205129
231827696381638,7.011033
231827697519792,7.313488
231827697551151,7.410269
231827697569721,7.487288
231827707672559,7.713718
231827708816559,7.466613
231827708841280,7.49407
231827708851554,7.501585
231827719377572,6.991
231827719382719,6.88564
231827720982512,8.528001
231827720988048,8.741091
231827730627005,7.335679
231827730631752,7.043228
231827731668271,7.381666
231827731688610,7.411172
231827742380592,6.94532
231827742505563,6.982536
231827742510157,7.088396
